topic,1,2,3,4,5,6,7,8,9,10
98,family,wife,hire,middle,oregon,recent,joy,importantly,hearing,portland
99,well,stay,hard,buy,safe,role,moment,latest,gaming,pray
100,looking,put,affiliate,guy,couple,mine,wrong,forward,cause,economic
101,still,shit,florida,stress,fact,text,east,stupid,jump,wave
102,know,actually,someone,info,three,community,choice,resource,kinda,bet
103,outside,focus,quite,grateful,privilege,seeing,welcome,window,warm,motivate
104,see,away,small,group,soon,later,colleague,attempt,bathroom,non
105,start,ask,network,different,option,consider,book,increase,series,factor
106,take,business,lot,allow,employer,management,completely,asking,imagine,advice
107,let,issue,almost,line,realize,large,twitter,difference,interaction,camera
108,living,build,stick,apartment,notice,feed,storm,extremely,officially,cooking
109,mom,food,demand,meal,growth,letting,brother,shake,enter,capital
110,amp,might,provide,service,studio,slow,response,walking,attitude,extend
111,night,advantage,bunch,typically,center,empty,action,mandatory,mountain,typical
112,may,using,social,extra,travel,march,distance,basically,worse,america
113,video,amaze,game,worth,available,hey,webcam,warrior,avaya,reenactment
114,job,feel,last,opportunity,huge,dress,hell,lazy,edition,upper
115,keep,end,longer,dinner,breakfast,exist,shirt,calling,reward,smile
116,long,school,sick,often,name,wake,matter,impact,firm,piece
117,would,pretty,everything,man,sent,green,ohio,mad,tho,cookie
118,kid,coworker,following,laugh,pic,song,therapist,covering,wiigs,hader
119,understand,risk,thinking,felt,senior,plant,imo,stressful,responsibility,confuse
120,move,ready,manager,current,usually,environment,thursday,information,central,crisis
121,dog,worker,fuck,leaving,god,helpful,luxury,obviously,lovely,joining
122,year,yes,mind,value,sit,write,similar,purchase,stand,anymore
123,positive,regular,county,explain,zone,words,childcare,housing,fitness,flex
124,need,system,upgrade,spending,contact,plenty,boost,avon,fashion,somebody
